track_name,track_artist,track_popularity,track_album_name,release_year,song_genre,danceability,energy,key,loudness,mode,speechiness,liveness,valence,tempo,duration,tempo_type,speechiness_type,key_values
I Don't Care (with Justin Bieber) - Loud Luxury Remix,Ed Sheeran,66,I Don't Care (with Justin Bieber) [Loud Luxury Remix],2019,pop,0.75,0.92,6,-2.63,1,0.06,0.0653,0.52,122.04,195,Allegro,No Lyrics,"F♯,G♭"
Memories - Dillon Francis Remix,Maroon 5,67,Memories (Dillon Francis Remix),2019,pop,0.73,0.82,11,-4.97,1,0.04,0.357,0.69,99.97,163,Andante,No Lyrics,B
All the Time - Don Diablo Remix,Zara Larsson,70,All the Time (Don Diablo Remix),2019,pop,0.68,0.93,1,-3.43,0,0.07,0.11,0.61,124.01,177,Allegro,No Lyrics,"C♯,D♭"
Call You Mine - Keanu Silva Remix,The Chainsmokers,60,Call You Mine - The Remixes,2019,pop,0.72,0.93,7,-3.78,1,0.1,0.204,0.28,121.96,169,Allegro,No Lyrics,G
Someone You Loved - Future Humans Remix,Lewis Capaldi,69,Someone You Loved (Future Humans Remix),2019,pop,0.65,0.83,1,-4.67,1,0.04,0.0833,0.72,123.98,189,Allegro,No Lyrics,"C♯,D♭"
Beautiful People (feat. Khalid) - Jack Wins Remix,Ed Sheeran,67,Beautiful People (feat. Khalid) [Jack Wins Remix],2019,pop,0.68,0.92,8,-5.38,1,0.13,0.143,0.58,124.98,163,Allegro,No Lyrics,"G♯,A♭"
Never Really Over - R3HAB Remix,Katy Perry,62,Never Really Over (R3HAB Remix),2019,pop,0.45,0.86,5,-4.79,0,0.06,0.176,0.15,112.65,188,Moderato,No Lyrics,F
Post Malone (feat. RANI) - GATTÜSO Remix,Sam Feldt,69,Post Malone (feat. RANI) [GATTÜSO Remix],2019,pop,0.54,0.9,4,-2.42,0,0.04,0.111,0.37,127.94,208,Allegro,No Lyrics,E
Tough Love - Tiësto Remix / Radio Edit,Avicii,68,Tough Love (Tiësto Remix),2019,pop,0.59,0.94,8,-3.56,1,0.06,0.637,0.37,127.02,193,Allegro,No Lyrics,"G♯,A♭"
If I Can't Have You - Gryffin Remix,Shawn Mendes,67,If I Can't Have You (Gryffin Remix),2019,pop,0.64,0.82,2,-4.55,1,0.03,0.0919,0.59,124.96,253,Allegro,No Lyrics,D
Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,Ed Sheeran,58,Cross Me (feat. Chance the Rapper & PnB Rock) [M-22 Remix],2019,pop,0.68,0.92,6,-6.5,1,0.18,0.124,0.75,121.98,208,Allegro,No Lyrics,"F♯,G♭"
Hate Me - R3HAB Remix,Ellie Goulding,67,Hate Me (R3HAB Remix),2019,pop,0.44,0.77,8,-4.92,1,0.06,0.133,0.33,123.12,204,Allegro,No Lyrics,"G♯,A♭"
Body On My,Loud Luxury,67,Body On My,2019,pop,0.74,0.73,1,-4.67,1,0.05,0.374,0.69,121.98,193,Allegro,No Lyrics,"C♯,D♭"
SOS - Laidback Luke Tribute Remix / Radio Edit,Avicii,68,SOS (Laidback Luke Tribute Remix),2019,pop,0.57,0.92,5,-4.45,0,0.06,0.339,0.68,123.92,165,Allegro,No Lyrics,F
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,Martin Garrix,63,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) [Remixes],2019,pop,0.69,0.78,5,-4.45,0,0.06,0.0729,0.24,126.07,255,Allegro,No Lyrics,F
South of the Border (feat. Camila Cabello & Cardi B) - Andy Jarvis Remix,Ed Sheeran,66,South of the Border (feat. Camila Cabello & Cardi B) [Andy Jarvis Remix],2019,pop,0.8,0.84,0,-4.6,1,0.09,0.365,0.72,125.03,188,Allegro,No Lyrics,C
All My Friends - Eden Prince Remix,AJ Mitchell,60,All My Friends (Eden Prince Remix),2019,pop,0.69,0.9,1,-4.32,0,0.09,0.427,0.37,118.05,174,Moderato,No Lyrics,"C♯,D♭"
Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix,David Guetta,65,Say My Name (feat. Bebe Rexha & J Balvin) [Lucas & Steve Remix],2018,pop,0.68,0.75,10,-5.29,0,0.16,0.174,0.52,120,189,Allegro,No Lyrics,"A♯,B♭"
Dancing With A Stranger (With Normani) - Cheat Codes Remix,Sam Smith,69,Dancing With A Stranger (With Normani) [Cheat Codes Remix],2019,pop,0.75,0.56,1,-6.72,1,0.05,0.138,0.32,111.96,159,Moderato,No Lyrics,"C♯,D♭"
Let It Be Me - Sondr Remix,Steve Aoki,35,Let It Be Me (Remixes),2019,pop,0.47,0.82,7,-5.47,1,0.09,0.131,0.23,122.68,185,Allegro,No Lyrics,G
Heaven - David Guetta & MORTEN Remix,Avicii,70,Heaven (David Guetta & MORTEN Remix),2019,pop,0.57,0.93,6,-5.05,0,0.04,0.105,0.2,125.95,215,Allegro,No Lyrics,"F♯,G♭"
All Around The World (La La La) - Marnik Remix,R3HAB,64,All Around The World (La La La) [Marnik Remix],2019,pop,0.71,0.91,9,-4.33,0,0.03,0.113,0.71,135.02,171,Allegro,No Lyrics,A
Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,David Guetta,62,Don't Leave Me Alone (feat. Anne-Marie) [EDX's Indian Summer Remix],2019,pop,0.68,0.82,4,-4.48,0,0.13,0.119,0.34,123.94,211,Allegro,No Lyrics,E
Slow Dance (feat. Ava Max) - Sam Feldt Remix,AJ Mitchell,70,Slow Dance (feat. Ava Max) [Sam Feldt Remix],2019,pop,0.73,0.85,1,-6,1,0.04,0.0388,0.37,124.02,194,Allegro,No Lyrics,"C♯,D♭"
Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,The Chainsmokers,58,Do You Mean - The Remixes (feat. Ty Dolla $ign & bülow),2019,pop,0.62,0.89,11,-3.79,1,0.04,0.395,0.42,110.02,205,Moderato,No Lyrics,B
Hold Me While You Wait - Steve Void Remix,Lewis Capaldi,63,Hold Me While You Wait (Steve Void Remix),2019,pop,0.68,0.76,11,-7.04,1,0.04,0.33,0.47,124.93,173,Allegro,No Lyrics,B
One Thing Right - Firebeatz Remix,Marshmello,66,One Thing Right (Remixes),2019,pop,0.68,0.85,1,-7.12,0,0.04,0.0289,0.35,126,192,Allegro,No Lyrics,"C♯,D♭"
Close To Me (with Diplo) (feat. Swae Lee) - CID Remix,Ellie Goulding,8,Close To Me (Remixes),2019,pop,0.66,0.9,1,-3.78,0,0.05,0.333,0.4,126,175,Allegro,No Lyrics,"C♯,D♭"
So Am I - Toby Green Remix,Ava Max,62,So Am I (Toby Green Remix),2019,pop,0.62,0.94,6,-3.98,1,0.05,0.0923,0.37,128,167,Allegro,No Lyrics,"F♯,G♭"
When You Leave - Breathe Carolina Remix,Nikki Vianna,30,When You Leave (Breathe Carolina Remix),2019,pop,0.68,0.91,1,-2.93,1,0.1,0.269,0.82,119.89,155,Moderato,No Lyrics,"C♯,D♭"
